,Array,Array,Array,BST,BST,BST
,best_case,worst_case,average_case,best_case,worst_case,average_case
500,18.0,5000.0,2440.396,16.0,96.0,59.04
1000,7.0,4988.0,2462.084,16.0,92.0,58.844
1500,1.0,4999.0,2557.920666666667,4.0,96.0,59.29866666666667
2000,2.0,4999.0,2520.7015,8.0,100.0,58.992
2500,1.0,4999.0,2503.106,4.0,100.0,59.1472
3000,2.0,5000.0,2478.984,8.0,100.0,58.90133333333333
3500,1.0,5000.0,2505.4465714285716,4.0,100.0,58.91314285714286
4000,1.0,4998.0,2510.45075,4.0,100.0,59.153
4500,1.0,5000.0,2500.41,4.0,100.0,59.07822222222222
5000,1.0,5000.0,2500.5,4.0,100.0,59.0384
